category,statistic_name,exact_nfm_p_terminology,xml_api_class,logrecord_class,current_data_availability,historical_data_availability,collection_method,object_scope,collection_interval,api_verification_status,ndca_target_field,source_document,source_section_page,notes
Interface / Network Port,Received Octets,Received Octets,equipment.InterfaceStats,UNKNOWN,VERIFIED,PARTIAL,Scheduled / On-demand,Interface,UNKNOWN,VERIFIED,interface.received_octets,Statistics_Management_Guide_Issue_1.pdf / XML_API_Developer_Guide_Issue_1.pdf,UNKNOWN,Documented interface stats class and interface counter example; exact interface LogRecord class not specified in summary evidence
Interface / Network Port,Received Broadcast Packets,Received Broadcast Packets,equipment.InterfaceAdditionalStats,UNKNOWN,VERIFIED,PARTIAL,Scheduled / On-demand,Interface,UNKNOWN,VERIFIED,interface.received_broadcast_packets,Statistics_Management_Guide_Issue_1.pdf / XML_API_Developer_Guide_Issue_1.pdf,UNKNOWN,Documented interface additional stats class and counter example; exact LogRecord class not specified in summary evidence
BGP,BGP Peer Statistics,Peer statistics,bgp.PeerStats,bgp.PeerStatsLogRecord,VERIFIED,VERIFIED,Scheduled / On-demand,Peer,UNKNOWN,VERIFIED,bgp.peer_stats,XML_API_Developer_Guide_Issue_1.pdf,UNKNOWN,Documented BGP current stats class and corresponding historical LogRecord class
Other IP/MPLS statistics,MPLS interface plot support,MPLS interfaces supported in plotter profiles,UNKNOWN,UNKNOWN,VERIFIED,UNKNOWN,UNKNOWN,Interface,UNKNOWN,PARTIAL,mpls.interface_plot_support,Statistics_Management_Guide_Issue_1.pdf,UNKNOWN,Default plotter profiles explicitly support MPLS interfaces; exact XML API class not documented in summary evidence
Other IP/MPLS statistics,Routing throughput,Routing throughput,UNKNOWN,UNKNOWN,PARTIAL,UNKNOWN,UNKNOWN,Network,UNKNOWN,PARTIAL,routing.throughput,Statistics_Management_Guide_Issue_1.pdf,UNKNOWN,Performance statistics can represent routing throughput according to the documentation; exact XML API class not documented in summary evidence
System / Equipment,Physical equipment status,Physical equipment status,UNKNOWN,UNKNOWN,PARTIAL,UNKNOWN,UNKNOWN,System,UNKNOWN,PARTIAL,equipment.physical_status,Statistics_Management_Guide_Issue_1.pdf,UNKNOWN,Performance statistics can include physical equipment status; exact XML API class not documented in summary evidence
IP,IP performance statistics,IP performance statistics,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Interface,UNKNOWN,UNKNOWN,ip.performance_statistics,UNKNOWN,UNKNOWN,No explicit XML API or counter class documented in summary evidence for IP statistics
Ethernet,Ethernet performance statistics,Ethernet performance statistics,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Interface,UNKNOWN,UNKNOWN,ethernet.performance_statistics,UNKNOWN,UNKNOWN,No explicit XML API or counter class documented in summary evidence for Ethernet statistics
OSPF,OSPF performance statistics,OSPF performance statistics,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Area,UNKNOWN,UNKNOWN,ospf.performance_statistics,UNKNOWN,UNKNOWN,No explicit XML API or counter class documented in summary evidence for OSPF statistics
IS-IS,IS-IS performance statistics,IS-IS performance statistics,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Level,UNKNOWN,UNKNOWN,isis.performance_statistics,UNKNOWN,UNKNOWN,No explicit XML API or counter class documented in summary evidence for IS-IS statistics
